Table with row headers in column A and column headers in row 4.,,,,,,,,,,,,,,,,,,,,
"Table 4b.  Reported Voting and Registration, by Sex, Race and Hispanic Origin, for States: November 2012",,,,,,,,,,,,,,,,,,,,
(in thousands),,,,,,,,,,,,,,,,,,,,
State,Race and Hispanic origin,Total Population,Total Citizen Population,Total registered,"Percent registered
(Total)",Margin of Error1,"Percent registered
(Citizen)",Margin of Error,Total voted,"Percent voted
(Total)",Margin of Error,"Percent voted
(Citizen)",Margin of Error,,,,,,,
,Black alone or in combination,"2,283","1,955","1,295",56.7,3.7,66.2,3.8,"1,137",49.8,3.8,58.2,4.0,,,,,,,
,Asian alone or in combination,544,392,194,35.7,7.7,49.5,9.5,171,31.5,7.5,43.7,9.4,,,,,,,
GEORGIA,Total,"7,179","6,738","4,767",66.4,1.7,70.7,1.7,"4,168",58.1,1.7,61.9,1.8,,,,,,,
,Male,"3,424","3,206","2,178",63.6,2.4,67.9,2.5,"1,899",55.5,2.5,59.2,2.6,,,,,,,
,Female,"3,755","3,532","2,589",68.9,2.2,73.3,2.2,"2,269",60.4,2.4,64.2,2.4,,,,,,,
,White alone,"4,659","4,388","3,121",67.0,2.1,71.1,2.0,"2,683",57.6,2.2,61.1,2.2,,,,,,,
,.White non-Hispanic alone,"4,227","4,176","3,006",71.1,2.1,72.0,2.1,"2,590",61.3,2.2,62.0,2.2,,,,,,,
,Black alone,"2,151","2,063","1,491",69.3,3.6,72.3,3.6,"1,340",62.3,3.8,65.0,3.8,,,,,,,
,Asian alone,274,198,86,31.4,10.6,43.6,13.3,83,30.2,10.4,41.9,13.2,,,,,,,
,Hispanic (of any race),489,238,140,28.7,9.6,59.0,14.9,114,23.3,9.0,47.8,15.2,,,,,,,
,White alone or in combination,"4,697","4,424","3,148",67.0,2.0,71.2,2.0,"2,706",57.6,2.1,61.2,2.2,,,,,,,
,Black alone or in combination,"2,177","2,087","1,511",69.4,3.6,72.4,3.5,"1,354",62.2,3.7,64.9,3.8,,,,,,,
,Asian alone or in combination,280,203,86,30.8,10.4,42.4,13.1,83,29.6,10.3,40.8,13.0,,,,,,,
HAWAII,Total,"1,013",930,547,54.1,2.4,58.9,2.5,480,47.4,2.4,51.6,2.6,,,,,,,
,Male,493,463,256,51.9,3.5,55.3,3.6,225,45.7,3.5,48.7,3.6,,,,,,,
,Female,520,467,292,56.1,3.4,62.4,3.5,255,49.1,3.4,54.6,3.6,,,,,,,
,White alone,238,228,170,71.3,4.6,74.4,4.5,153,64.2,4.8,66.9,4.9,,,,,,,
,.White non-Hispanic alone,212,210,160,75.4,4.6,76.0,4.6,143,67.6,5.0,68.2,5.0,,,,,,,
,Black alone,18,18,12,(B),(B),(B),(B),12,(B),(B),(B),(B),,,,,,,
,Asian alone,459,403,227,49.5,4.6,56.3,4.9,201,43.7,4.6,49.7,4.9,,,,,,,
,Hispanic (of any race),81,73,33,41.0,13.4,(B),(B),25,31.4,12.7,(B),(B),,,,,,,
,White alone or in combination,362,350,236,65.3,3.9,67.5,3.9,208,57.4,4.1,59.3,4.1,,,,,,,
,Black alone or in combination,27,27,18,(B),(B),(B),(B),18,(B),(B),(B),(B),,,,,,,
,Asian alone or in combination,568,511,287,50.5,4.1,56.1,4.3,250,44.1,4.1,49.0,4.4,,,,,,,
IDAHO,Total,"1,129","1,064",745,65.9,2.4,70.0,2.3,679,60.2,2.4,63.9,2.5,,,,,,,
,Male,553,519,354,64.1,3.4,68.3,3.4,323,58.4,3.5,62.2,3.6,,,,,,,
,Female,577,545,390,67.7,3.3,71.6,3.2,357,61.8,3.4,65.4,3.4,,,,,,,
,White alone,"1,077","1,021",726,67.4,2.4,71.1,2.4,661,61.4,2.5,64.8,2.5,,,,,,,
,.White non-Hispanic alone,960,956,691,72.0,2.4,72.3,2.4,634,66.1,2.6,66.4,2.6,,,,,,,
,Black alone,7,7,-,(B),(B),(B),(B),-,(B),(B),(B),(B),,,,,,,
,Asian alone,15,6,2,(B),(B),(B),(B),2,(B),(B),(B),(B),,,,,,,
,Hispanic (of any race),119,68,35,29.6,11.0,(B),(B),27,22.5,10.0,(B),(B),,,,,,,
,White alone or in combination,"1,093","1,037",735,67.3,2.4,70.9,2.4,670,61.3,2.5,64.6,2.5,,,,,,,
,Black alone or in combination,9,9,1,(B),(B),(B),(B),1,(B),(B),(B),(B),,,,,,,
,Asian alone or in combination,19,9,5,(B),(B),(B),(B),5,(B),(B),(B),(B),,,,,,,
ILLINOIS,Total,"9,651","8,831","6,425",66.6,1.4,72.7,1.4,"5,428",56.2,1.5,61.5,1.6,,,,,,,
,Male,"4,638","4,244","3,010",64.9,2.1,70.9,2.1,"2,517",54.3,2.2,59.3,2.3,,,,,,,
,Female,"5,013","4,588","3,415",68.1,2.0,74.4,1.9,"2,911",58.1,2.1,63.5,2.1,,,,,,,
,White alone,"7,673","7,115","5,150",67.1,1.6,72.4,1.6,"4,275",55.7,1.7,60.1,1.7,,,,,,,
,.White non-Hispanic alone,"6,553","6,408","4,762",72.7,1.7,74.3,1.6,"3,986",60.8,1.8,62.2,1.8,,,,,,,
,Black alone,"1,322","1,278",987,74.7,4.3,77.2,4.3,918,69.5,4.6,71.8,4.6,,,,,,,
,Asian alone,557,356,228,40.9,7.9,64.0,9.6,198,35.5,7.7,55.4,10.0,,,,,,,
,Hispanic (of any race),"1,200",770,415,34.6,6.5,53.9,8.5,295,24.6,5.9,38.3,8.3,,,,,,,
,White alone or in combination,"7,751","7,176","5,189",66.9,1.6,72.3,1.6,"4,299",55.5,1.7,59.9,1.7,,,,,,,
,Black alone or in combination,"1,372","1,312","1,009",73.5,4.3,76.9,4.2,934,68.0,4.6,71.1,4.5,,,,,,,
,Asian alone or in combination,579,378,243,41.9,7.8,64.1,9.3,204,35.3,7.5,54.1,9.7,,,,,,,
INDIANA,Total,"4,852","4,724","3,270",67.4,2.0,69.2,2.0,"2,801",57.7,2.1,59.3,2.1,,,,,,,
,Male,"2,326","2,247","1,542",66.3,2.9,68.7,2.9,"1,331",57.2,3.1,59.2,3.1,,,,,,,
,Female,"2,526","2,478","1,727",68.4,2.8,69.7,2.7,"1,470",58.2,2.9,59.3,2.9,,,,,,,
,White alone,"4,349","4,255","2,926",67.3,2.1,68.8,2.1,"2,509",57.7,2.2,59.0,2.2,,,,,,,
,.White non-Hispanic alone,"4,179","4,151","2,861",68.4,2.1,68.9,2.1,"2,460",58.9,2.3,59.3,2.3,,,,,,,
,Black alone,385,385,309,80.3,7.3,80.3,7.3,263,68.4,8.5,68.4,8.5,,,,,,,
,Asian alone,75,41,19,(B),(B),(B),(B),14,(B),(B),(B),(B),,,,,,,
,Hispanic (of any race),184,118,71,38.5,16.8,59.7,21.1,49,26.5,15.3,41.1,21.2,,,,,,,
,White alone or in combination,"4,373","4,279","2,938",67.2,2.1,68.7,2.1,"2,521",57.7,2.2,58.9,2.2,,,,,,,
,Black alone or in combination,409,409,316,77.1,7.5,77.1,7.5,270,65.9,8.5,65.9,8.5,,,,,,,
,Asian alone or in combination,75,41,19,(B),(B),(B),(B),14,(B),(B),(B),(B),,,,,,,
IOWA,Total,"2,320","2,232","1,745",75.2,2.3,78.2,2.2,"1,548",66.7,2.5,69.4,2.5,,,,,,,
,Male,"1,135","1,084",838,73.9,3.3,77.3,3.2,733,64.6,3.6,67.6,3.6,,,,,,,
,Female,"1,186","1,148",906,76.4,3.1,79.0,3.0,816,68.8,3.4,71.1,3.4,,,,,,,
,White alone,"2,173","2,123","1,673",77.0,2.3,78.8,2.2,"1,482",68.2,2.5,69.8,2.5,,,,,,,
,.White non-Hispanic alone,"2,067","2,057","1,644",79.5,2.2,79.9,2.2,"1,455",70.4,2.5,70.7,2.5,,,,,,,
,Black alone,54,51,35,(B),(B),(B),(B),33,(B),(B),(B),(B),,,,,,,
,Asian alone,61,35,21,(B),(B),(B),(B),17,(B),(B),(B),(B),,,,,,,
,Hispanic (of any race),120,71,32,26.8,16.0,(B),(B),30,25.1,15.6,(B),(B),,,,,,,
,White alone or in combination,"2,197","2,138","1,685",76.7,2.3,78.8,2.2,"1,494",68.0,2.5,69.9,2.5,,,,,,,
,Black alone or in combination,67,59,41,(B),(B),(B),(B),39,(B),(B),(B),(B),,,,,,,
,Asian alone or in combination,67,35,21,(B),(B),(B),(B),17,(B),(B),(B),(B),,,,,,,
KANSAS,Total,"2,120","1,973","1,467",69.2,2.4,74.4,2.4,"1,249",58.9,2.6,63.3,2.6,,,,,,,
,Male,"1,029",953,671,65.2,3.6,70.4,3.6,567,55.1,3.8,59.5,3.8,,,,,,,
,Female,"1,091","1,020",796,73.0,3.3,78.0,3.1,682,62.5,3.5,66.8,3.6,,,,,,,
,White alone,"1,851","1,759","1,342",72.5,2.5,76.3,2.5,"1,148",62.0,2.7,65.3,2.7,,,,,,,
,.White non-Hispanic alone,"1,675","1,664","1,294",77.2,2.5,77.8,2.5,"1,115",66.6,2.8,67.0,2.8,,,,,,,
,Black alone,105,103,64,61.3,13.9,62.5,14.0,54,51.4,14.3,52.4,14.4,,,,,,,
,Asian alone,66,27,9,(B),(B),(B),(B),6,(B),(B),(B),(B),,,,,,,
,Hispanic (of any race),197,108,54,27.5,12.1,50.0,18.3,33,16.6,10.1,30.2,16.8,,,,,,,
,White alone or in combination,"1,908","1,809","1,374",72.0,2.5,76.0,2.4,"1,172",61.4,2.7,64.8,2.7,,,,,,,
,Black alone or in combination,126,124,74,58.5,12.9,59.4,12.9,63,50.2,13.1,51.0,13.2,,,,,,,
,Asian alone or in combination,80,33,15,18.9,13.4,(B),(B),8,10.6,10.5,(B),(B),,,,,,,
KENTUCKY,Total,"3,291","3,194","2,303",70.0,2.4,72.1,2.4,"1,895",57.6,2.6,59.3,2.6,,,,,,,
,Male,"1,581","1,531","1,041",65.8,3.5,68.0,3.5,843,53.3,3.7,55.1,3.8,,,,,,,
,Female,"1,710","1,663","1,262",73.8,3.2,75.9,3.1,"1,052",61.5,3.5,63.3,3.5,,,,,,,
,White alone,"2,966","2,899","2,091",70.5,2.5,72.1,2.5,"1,733",58.4,2.7,59.8,2.7,,,,,,,
,.White non-Hispanic alone,"2,908","2,886","2,082",71.6,2.5,72.1,2.5,"1,723",59.3,2.7,59.7,2.7,,,,,,,
,Black alone,223,220,162,72.8,10.7,73.8,10.7,125,56.1,12.0,56.9,12.0,,,,,,,
,Asian alone,61,33,14,(B),(B),(B),(B),5,(B),(B),(B),(B),,,,,,,
,Hispanic (of any race),82,34,20,24.0,22.0,(B),(B),13,15.5,18.7,(B),(B),,,,,,,
,White alone or in combination,"3,001","2,935","2,120",70.6,2.5,72.2,2.5,"1,758",58.6,2.7,59.9,2.7,,,,,,,
,Black alone or in combination,247,244,180,72.9,10.2,73.8,10.1,140,56.6,11.3,57.3,11.4,,,,,,,
,Asian alone or in combination,64,36,17,(B),(B),(B),(B),8,(B),(B),(B),(B),,,,,,,
LOUISIANA,Total,"3,321","3,239","2,498",75.2,2.2,77.1,2.2,"2,148",64.7,2.4,66.3,2.4,,,,,,,
,Male,"1,554","1,494","1,102",70.9,3.4,73.7,3.4,931,59.9,3.7,62.4,3.7,,,,,,,
,Female,"1,766","1,745","1,396",79.0,2.9,80.0,2.8,"1,217",68.9,3.2,69.7,3.2,,,,,,,
,White alone,"2,242","2,174","1,681",75.0,2.7,77.3,2.6,"1,421",63.4,3.0,65.4,3.0,,,,,,,
,.White non-Hispanic alone,"2,141","2,128","1,644",76.8,2.7,77.3,2.7,"1,389",64.9,3.0,65.2,3.0,,,,,,,
,Black alone,996,996,768,77.1,4.8,77.1,4.8,692,69.5,5.2,69.5,5.2,,,,,,,
,Asian alone,37,23,6,(B),(B),(B),(B),6,(B),(B),(B),(B),,,,,,,
,Hispanic (of any race),125,70,57,45.3,20.6,(B),(B),48,38.1,20.1,(B),(B),,,,,,,
,White alone or in combination,"2,262","2,194","1,697",75.0,2.7,77.3,2.6,"1,428",63.2,3.0,65.1,3.0,,,,,,,
,Black alone or in combination,"1,013","1,013",786,77.5,4.7,77.5,4.7,700,69.1,5.2,69.1,5.2,,,,,,,
,Asian alone or in combination,41,27,6,(B),(B),(B),(B),6,(B),(B),(B),(B),,,,,,,
MAINE,Total,"1,042","1,020",787,75.5,2.4,77.1,2.4,700,67.2,2.7,68.6,2.7,,,,,,,
,Male,509,501,383,75.2,3.5,76.4,3.5,333,65.5,3.9,66.5,3.9,,,,,,,
,Female,533,519,404,75.8,3.4,77.9,3.3,367,68.8,3.7,70.7,3.7,,,,,,,
,White alone,"1,001",986,766,76.5,2.4,77.7,2.4,682,68.1,2.7,69.1,2.7,,,,,,,
,.White non-Hispanic alone,993,981,762,76.8,2.5,77.7,2.4,678,68.3,2.7,69.1,2.7,,,,,,,
,Black alone,8,7,4,(B),(B),(B),(B),4,(B),(B),(B),(B),,,,,,,
,Asian alone,14,8,3,(B),(B),(B),(B),2,(B),(B),(B),(B),,,,,,,
,Hispanic (of any race),10,7,4,(B),(B),(B),(B),4,(B),(B),(B),(B),,,,,,,
,White alone or in combination,"1,015","1,000",776,76.4,2.4,77.6,2.4,691,68.0,2.7,69.0,2.7,,,,,,,
,Black alone or in combination,9,8,6,(B),(B),(B),(B),6,(B),(B),(B),(B),,,,,,,
,Asian alone or in combination,15,9,4,(B),(B),(B),(B),3,(B),(B),(B),(B),,,,,,,
